index,USERID,Day,Present,Weekday,Prev_absences,Prev_Absences
0,,2016-05-01,False,True,,0
1,,2016-05-02,True,True,,0
2,,2016-05-03,True,True,,0
3,,2016-05-04,True,True,,0
4,,2016-05-05,True,True,,0
5,,2016-05-06,False,False,,0
6,,2016-05-07,False,False,,1
7,,2016-05-08,True,True,,0
8,,2016-05-09,True,True,,0
9,,2016-05-10,True,True,,0
10,,2016-05-11,True,True,,0
11,,2016-05-12,True,True,,0
12,,2016-05-13,False,False,,0
13,,2016-05-14,False,False,,1
14,,2016-05-15,True,True,,0
15,,2016-05-16,True,True,,0
16,,2016-05-17,True,True,,0
17,,2016-05-18,True,True,,0
18,,2016-05-19,True,True,,0
19,,2016-05-20,False,False,,0
20,,2016-05-21,False,False,,1
21,,2016-05-22,True,True,,0
22,,2016-05-23,True,True,,0
23,,2016-05-24,False,True,,0
24,,2016-05-25,True,True,,0
25,,2016-05-26,True,True,,0
26,,2016-05-27,False,False,,0
27,,2016-05-28,False,False,,1
28,,2016-05-29,True,True,,0
29,,2016-05-30,True,True,,0
30,,2016-05-31,True,True,,0
31,,2016-06-01,True,True,,0
32,,2016-06-02,True,True,,0
33,,2016-06-03,False,False,,0
34,,2016-06-04,False,False,,1
35,,2016-06-05,True,True,,0
36,,2016-06-06,True,True,,0
37,,2016-06-07,True,True,,0
38,,2016-06-08,True,True,,0
39,,2016-06-09,True,True,,0
40,,2016-06-10,False,False,,0
41,,2016-06-11,False,False,,1
42,,2016-06-12,True,True,,0
43,,2016-06-13,True,True,,0
44,,2016-06-14,True,True,,0
45,,2016-06-15,True,True,,0
46,,2016-06-16,True,True,,0
47,,2016-06-17,False,False,,0
48,,2016-06-18,False,False,,1
49,,2016-06-19,False,True,,1
50,,2016-06-20,False,True,,1
51,,2016-06-21,True,True,,0
52,,2016-06-22,False,True,,0
53,,2016-06-23,False,True,,1
54,,2016-06-24,False,False,,1
55,,2016-06-25,False,False,,1
56,,2016-06-26,True,True,,0
57,,2016-06-27,False,True,,0
58,,2016-06-28,True,True,,0
59,,2016-06-29,False,True,,0
60,,2016-06-30,True,True,,0
0,,2016-05-01,False,True,,0
1,,2016-05-02,True,True,,0
2,,2016-05-03,True,True,,0
3,,2016-05-04,True,True,,0
4,,2016-05-05,True,True,,0
5,,2016-05-06,False,False,,0
6,,2016-05-07,False,False,,1
7,,2016-05-08,True,True,,0
8,,2016-05-09,True,True,,0
9,,2016-05-10,True,True,,0
10,,2016-05-11,True,True,,0
11,,2016-05-12,True,True,,0
12,,2016-05-13,False,False,,0
13,,2016-05-14,False,False,,1
14,,2016-05-15,True,True,,0
15,,2016-05-16,True,True,,0
16,,2016-05-17,True,True,,0
17,,2016-05-18,False,True,,0
18,,2016-05-19,True,True,,0
19,,2016-05-20,False,False,,0
20,,2016-05-21,False,False,,1
21,,2016-05-22,True,True,,0
22,,2016-05-23,True,True,,0
23,,2016-05-24,True,True,,0
24,,2016-05-25,True,True,,0
25,,2016-05-26,True,True,,0
26,,2016-05-27,False,False,,0
27,,2016-05-28,False,False,,1
28,,2016-05-29,False,True,,1
29,,2016-05-30,False,True,,1
30,,2016-05-31,True,True,,0
31,,2016-06-01,False,True,,0
32,,2016-06-02,True,True,,0
33,,2016-06-03,False,False,,0
34,,2016-06-04,False,False,,1
35,,2016-06-05,True,True,,0
36,,2016-06-06,False,True,,0
37,,2016-06-07,True,True,,0
38,,2016-06-08,True,True,,0
39,,2016-06-09,True,True,,0
40,,2016-06-10,False,False,,0
41,,2016-06-11,False,False,,1
42,,2016-06-12,True,True,,0
43,,2016-06-13,True,True,,0
44,,2016-06-14,True,True,,0
45,,2016-06-15,True,True,,0
46,,2016-06-16,True,True,,0
47,,2016-06-17,False,False,,0
48,,2016-06-18,False,False,,1
49,,2016-06-19,True,True,,0
50,,2016-06-20,True,True,,0
51,,2016-06-21,True,True,,0
52,,2016-06-22,True,True,,0
53,,2016-06-23,True,True,,0
54,,2016-06-24,False,False,,0
55,,2016-06-25,False,False,,1
56,,2016-06-26,True,True,,0
57,,2016-06-27,False,True,,0
58,,2016-06-28,False,True,,1
59,,2016-06-29,False,True,,1
60,,2016-06-30,True,True,,0
0,,2016-05-01,False,True,,0
1,,2016-05-02,True,True,,0
2,,2016-05-03,True,True,,0
3,,2016-05-04,True,True,,0
4,,2016-05-05,True,True,,0
5,,2016-05-06,False,False,,0
6,,2016-05-07,False,False,,1
7,,2016-05-08,True,True,,0
8,,2016-05-09,True,True,,0
9,,2016-05-10,True,True,,0
10,,2016-05-11,True,True,,0
11,,2016-05-12,True,True,,0
12,,2016-05-13,False,False,,0
13,,2016-05-14,False,False,,1
14,,2016-05-15,True,True,,0
15,,2016-05-16,True,True,,0
16,,2016-05-17,True,True,,0
17,,2016-05-18,True,True,,0
18,,2016-05-19,True,True,,0
19,,2016-05-20,False,False,,0
20,,2016-05-21,False,False,,1
21,,2016-05-22,True,True,,0
22,,2016-05-23,True,True,,0
23,,2016-05-24,True,True,,0
24,,2016-05-25,False,True,,0
25,,2016-05-26,True,True,,0
26,,2016-05-27,False,False,,0
27,,2016-05-28,False,False,,1
28,,2016-05-29,True,True,,0
29,,2016-05-30,True,True,,0
30,,2016-05-31,True,True,,0
31,,2016-06-01,True,True,,0
32,,2016-06-02,True,True,,0
33,,2016-06-03,False,False,,0
34,,2016-06-04,False,False,,1
35,,2016-06-05,True,True,,0
36,,2016-06-06,False,True,,0
37,,2016-06-07,False,True,,1
38,,2016-06-08,True,True,,0
39,,2016-06-09,True,True,,0
40,,2016-06-10,False,False,,0
41,,2016-06-11,False,False,,1
42,,2016-06-12,True,True,,0
43,,2016-06-13,True,True,,0
44,,2016-06-14,True,True,,0
45,,2016-06-15,True,True,,0
46,,2016-06-16,True,True,,0
47,,2016-06-17,False,False,,0
48,,2016-06-18,False,False,,1
49,,2016-06-19,True,True,,0
50,,2016-06-20,True,True,,0
51,,2016-06-21,True,True,,0
52,,2016-06-22,False,True,,0
53,,2016-06-23,False,True,,1
54,,2016-06-24,False,False,,1
55,,2016-06-25,False,False,,1
56,,2016-06-26,True,True,,0
57,,2016-06-27,False,True,,0
58,,2016-06-28,True,True,,0
59,,2016-06-29,False,True,,0
60,,2016-06-30,True,True,,0
0,,2016-05-01,False,True,,0
1,,2016-05-02,True,True,,0
2,,2016-05-03,False,True,,0
3,,2016-05-04,True,True,,0
4,,2016-05-05,True,True,,0
5,,2016-05-06,False,False,,0
6,,2016-05-07,False,False,,1
7,,2016-05-08,True,True,,0
8,,2016-05-09,True,True,,0
9,,2016-05-10,True,True,,0
10,,2016-05-11,True,True,,0
11,,2016-05-12,True,True,,0
12,,2016-05-13,False,False,,0
13,,2016-05-14,False,False,,1
14,,2016-05-15,True,True,,0
15,,2016-05-16,True,True,,0
16,,2016-05-17,True,True,,0
17,,2016-05-18,True,True,,0
18,,2016-05-19,True,True,,0
19,,2016-05-20,False,False,,0
20,,2016-05-21,False,False,,1
21,,2016-05-22,True,True,,0
22,,2016-05-23,True,True,,0
23,,2016-05-24,True,True,,0
24,,2016-05-25,True,True,,0
25,,2016-05-26,True,True,,0
26,,2016-05-27,False,False,,0
27,,2016-05-28,False,False,,1
28,,2016-05-29,True,True,,0
29,,2016-05-30,True,True,,0
30,,2016-05-31,True,True,,0
31,,2016-06-01,True,True,,0
32,,2016-06-02,True,True,,0
33,,2016-06-03,False,False,,0
34,,2016-06-04,False,False,,1
35,,2016-06-05,True,True,,0
36,,2016-06-06,True,True,,0
37,,2016-06-07,True,True,,0
38,,2016-06-08,True,True,,0
39,,2016-06-09,True,True,,0
40,,2016-06-10,False,False,,0
41,,2016-06-11,True,False,,0
42,,2016-06-12,False,True,,0
43,,2016-06-13,False,True,,1
44,,2016-06-14,False,True,,1
45,,2016-06-15,True,True,,0
46,,2016-06-16,False,True,,0
47,,2016-06-17,False,False,,1
48,,2016-06-18,False,False,,1
49,,2016-06-19,True,True,,0
50,,2016-06-20,False,True,,0
51,,2016-06-21,True,True,,0
52,,2016-06-22,False,True,,0
53,,2016-06-23,False,True,,1
54,,2016-06-24,False,False,,1
55,,2016-06-25,False,False,,1
56,,2016-06-26,True,True,,0
57,,2016-06-27,False,True,,0
58,,2016-06-28,True,True,,0
59,,2016-06-29,False,True,,0
60,,2016-06-30,True,True,,0
0,,2016-05-01,False,True,,0
1,,2016-05-02,True,True,,0
2,,2016-05-03,True,True,,0
3,,2016-05-04,True,True,,0
4,,2016-05-05,True,True,,0
5,,2016-05-06,False,False,,0
6,,2016-05-07,False,False,,1
7,,2016-05-08,True,True,,0
8,,2016-05-09,True,True,,0
9,,2016-05-10,True,True,,0
10,,2016-05-11,True,True,,0
11,,2016-05-12,True,True,,0
12,,2016-05-13,False,False,,0
13,,2016-05-14,False,False,,1
14,,2016-05-15,True,True,,0
15,,2016-05-16,True,True,,0
16,,2016-05-17,True,True,,0
17,,2016-05-18,True,True,,0
18,,2016-05-19,True,True,,0
19,,2016-05-20,False,False,,0
20,,2016-05-21,False,False,,1
21,,2016-05-22,True,True,,0
22,,2016-05-23,True,True,,0
23,,2016-05-24,True,True,,0
24,,2016-05-25,True,True,,0
25,,2016-05-26,True,True,,0
26,,2016-05-27,False,False,,0
27,,2016-05-28,False,False,,1
28,,2016-05-29,True,True,,0
29,,2016-05-30,True,True,,0
30,,2016-05-31,True,True,,0
31,,2016-06-01,True,True,,0
32,,2016-06-02,True,True,,0
33,,2016-06-03,False,False,,0
34,,2016-06-04,False,False,,1
35,,2016-06-05,True,True,,0
36,,2016-06-06,True,True,,0
37,,2016-06-07,True,True,,0
38,,2016-06-08,False,True,,0
39,,2016-06-09,False,True,,1
40,,2016-06-10,False,False,,1
41,,2016-06-11,False,False,,1
42,,2016-06-12,False,True,,1
43,,2016-06-13,False,True,,1
44,,2016-06-14,False,True,,1
45,,2016-06-15,False,True,,1
46,,2016-06-16,False,True,,1
47,,2016-06-17,False,False,,1
48,,2016-06-18,False,False,,1
49,,2016-06-19,False,True,,1
50,,2016-06-20,False,True,,1
51,,2016-06-21,True,True,,0
52,,2016-06-22,True,True,,0
53,,2016-06-23,True,True,,0
54,,2016-06-24,False,False,,0
55,,2016-06-25,False,False,,1
56,,2016-06-26,False,True,,1
57,,2016-06-27,False,True,,1
58,,2016-06-28,True,True,,0
59,,2016-06-29,True,True,,0
60,,2016-06-30,True,True,,0
0,,2016-05-01,False,True,,0
1,,2016-05-02,True,True,,0
2,,2016-05-03,True,True,,0
3,,2016-05-04,True,True,,0
4,,2016-05-05,True,True,,0
5,,2016-05-06,False,False,,0
6,,2016-05-07,False,False,,1
7,,2016-05-08,False,True,,1
8,,2016-05-09,False,True,,1
9,,2016-05-10,True,True,,0
10,,2016-05-11,True,True,,0
11,,2016-05-12,True,True,,0
12,,2016-05-13,False,False,,0
13,,2016-05-14,False,False,,1
14,,2016-05-15,True,True,,0
15,,2016-05-16,True,True,,0
16,,2016-05-17,True,True,,0
17,,2016-05-18,True,True,,0
18,,2016-05-19,True,True,,0
19,,2016-05-20,False,False,,0
20,,2016-05-21,False,False,,1
21,,2016-05-22,True,True,,0
22,,2016-05-23,True,True,,0
23,,2016-05-24,True,True,,0
24,,2016-05-25,True,True,,0
25,,2016-05-26,True,True,,0
26,,2016-05-27,False,False,,0
27,,2016-05-28,False,False,,1
28,,2016-05-29,True,True,,0
29,,2016-05-30,True,True,,0
30,,2016-05-31,True,True,,0
31,,2016-06-01,True,True,,0
32,,2016-06-02,True,True,,0
33,,2016-06-03,False,False,,0
34,,2016-06-04,False,False,,1
35,,2016-06-05,True,True,,0
36,,2016-06-06,True,True,,0
37,,2016-06-07,True,True,,0
38,,2016-06-08,True,True,,0
39,,2016-06-09,True,True,,0
40,,2016-06-10,False,False,,0
41,,2016-06-11,False,False,,1
42,,2016-06-12,False,True,,1
43,,2016-06-13,False,True,,1
44,,2016-06-14,False,True,,1
45,,2016-06-15,False,True,,1
46,,2016-06-16,True,True,,0
47,,2016-06-17,False,False,,0
48,,2016-06-18,False,False,,1
49,,2016-06-19,False,True,,1
50,,2016-06-20,False,True,,1
51,,2016-06-21,True,True,,0
52,,2016-06-22,True,True,,0
53,,2016-06-23,True,True,,0
54,,2016-06-24,False,False,,0
55,,2016-06-25,False,False,,1
56,,2016-06-26,False,True,,1
57,,2016-06-27,True,True,,0
58,,2016-06-28,False,True,,0
59,,2016-06-29,True,True,,0
60,,2016-06-30,True,True,,0
0,,2016-05-01,False,True,,0
1,,2016-05-02,True,True,,0
2,,2016-05-03,True,True,,0
3,,2016-05-04,True,True,,0
4,,2016-05-05,True,True,,0
5,,2016-05-06,False,False,,0
6,,2016-05-07,False,False,,1
7,,2016-05-08,True,True,,0
8,,2016-05-09,True,True,,0
9,,2016-05-10,True,True,,0
10,,2016-05-11,True,True,,0
11,,2016-05-12,True,True,,0
12,,2016-05-13,False,False,,0
13,,2016-05-14,False,False,,1
14,,2016-05-15,True,True,,0
15,,2016-05-16,True,True,,0
16,,2016-05-17,True,True,,0
17,,2016-05-18,True,True,,0
18,,2016-05-19,True,True,,0
19,,2016-05-20,False,False,,0
20,,2016-05-21,False,False,,1
21,,2016-05-22,True,True,,0
22,,2016-05-23,True,True,,0
23,,2016-05-24,True,True,,0
24,,2016-05-25,True,True,,0
25,,2016-05-26,True,True,,0
26,,2016-05-27,False,False,,0
27,,2016-05-28,False,False,,1
28,,2016-05-29,True,True,,0
29,,2016-05-30,True,True,,0
30,,2016-05-31,True,True,,0
31,,2016-06-01,True,True,,0
32,,2016-06-02,True,True,,0
33,,2016-06-03,False,False,,0
34,,2016-06-04,False,False,,1
35,,2016-06-05,True,True,,0
36,,2016-06-06,True,True,,0
37,,2016-06-07,True,True,,0
38,,2016-06-08,True,True,,0
39,,2016-06-09,True,True,,0
40,,2016-06-10,False,False,,0
41,,2016-06-11,False,False,,1
42,,2016-06-12,True,True,,0
43,,2016-06-13,True,True,,0
44,,2016-06-14,True,True,,0
45,,2016-06-15,True,True,,0
46,,2016-06-16,True,True,,0
47,,2016-06-17,False,False,,0
48,,2016-06-18,False,False,,1
49,,2016-06-19,True,True,,0
50,,2016-06-20,True,True,,0
51,,2016-06-21,True,True,,0
52,,2016-06-22,True,True,,0
53,,2016-06-23,True,True,,0
54,,2016-06-24,False,False,,0
55,,2016-06-25,False,False,,1
56,,2016-06-26,True,True,,0
57,,2016-06-27,True,True,,0
58,,2016-06-28,False,True,,0
59,,2016-06-29,True,True,,0
60,,2016-06-30,True,True,,0
0,,2016-05-01,False,True,,0
1,,2016-05-02,True,True,,0
2,,2016-05-03,True,True,,0
3,,2016-05-04,True,True,,0
4,,2016-05-05,True,True,,0
5,,2016-05-06,False,False,,0
6,,2016-05-07,False,False,,1
7,,2016-05-08,True,True,,0
8,,2016-05-09,True,True,,0
9,,2016-05-10,True,True,,0
10,,2016-05-11,True,True,,0
11,,2016-05-12,True,True,,0
12,,2016-05-13,False,False,,0
13,,2016-05-14,False,False,,1
14,,2016-05-15,True,True,,0
15,,2016-05-16,True,True,,0
16,,2016-05-17,True,True,,0
17,,2016-05-18,True,True,,0
18,,2016-05-19,True,True,,0
19,,2016-05-20,False,False,,0
20,,2016-05-21,False,False,,1
21,,2016-05-22,True,True,,0
22,,2016-05-23,True,True,,0
23,,2016-05-24,True,True,,0
24,,2016-05-25,True,True,,0
25,,2016-05-26,True,True,,0
26,,2016-05-27,False,False,,0
27,,2016-05-28,False,False,,1
28,,2016-05-29,True,True,,0
29,,2016-05-30,True,True,,0
30,,2016-05-31,True,True,,0
31,,2016-06-01,True,True,,0
32,,2016-06-02,True,True,,0
33,,2016-06-03,False,False,,0
34,,2016-06-04,False,False,,1
35,,2016-06-05,True,True,,0
36,,2016-06-06,True,True,,0
37,,2016-06-07,True,True,,0
38,,2016-06-08,True,True,,0
39,,2016-06-09,True,True,,0
40,,2016-06-10,False,False,,0
41,,2016-06-11,False,False,,1
42,,2016-06-12,True,True,,0
43,,2016-06-13,True,True,,0
44,,2016-06-14,True,True,,0
45,,2016-06-15,True,True,,0
46,,2016-06-16,True,True,,0
47,,2016-06-17,False,False,,0
48,,2016-06-18,False,False,,1
49,,2016-06-19,True,True,,0
50,,2016-06-20,True,True,,0
51,,2016-06-21,True,True,,0
52,,2016-06-22,True,True,,0
53,,2016-06-23,True,True,,0
54,,2016-06-24,False,False,,0
55,,2016-06-25,False,False,,1
56,,2016-06-26,True,True,,0
57,,2016-06-27,True,True,,0
58,,2016-06-28,True,True,,0
59,,2016-06-29,False,True,,0
60,,2016-06-30,False,True,,1
0,,2016-05-01,False,True,,0
1,,2016-05-02,True,True,,0
2,,2016-05-03,True,True,,0
3,,2016-05-04,True,True,,0
4,,2016-05-05,True,True,,0
5,,2016-05-06,False,False,,0
6,,2016-05-07,False,False,,1
7,,2016-05-08,True,True,,0
8,,2016-05-09,False,True,,0
9,,2016-05-10,True,True,,0
10,,2016-05-11,True,True,,0
11,,2016-05-12,True,True,,0
12,,2016-05-13,False,False,,0
13,,2016-05-14,False,False,,1
14,,2016-05-15,True,True,,0
15,,2016-05-16,True,True,,0
16,,2016-05-17,True,True,,0
17,,2016-05-18,True,True,,0
18,,2016-05-19,True,True,,0
19,,2016-05-20,False,False,,0
20,,2016-05-21,False,False,,1
21,,2016-05-22,True,True,,0
22,,2016-05-23,True,True,,0
23,,2016-05-24,True,True,,0
24,,2016-05-25,True,True,,0
25,,2016-05-26,True,True,,0
26,,2016-05-27,False,False,,0
27,,2016-05-28,False,False,,1
28,,2016-05-29,True,True,,0
29,,2016-05-30,True,True,,0
30,,2016-05-31,True,True,,0
31,,2016-06-01,True,True,,0
32,,2016-06-02,True,True,,0
33,,2016-06-03,False,False,,0
34,,2016-06-04,False,False,,1
35,,2016-06-05,True,True,,0
36,,2016-06-06,True,True,,0
37,,2016-06-07,True,True,,0
38,,2016-06-08,True,True,,0
39,,2016-06-09,True,True,,0
40,,2016-06-10,False,False,,0
41,,2016-06-11,False,False,,1
42,,2016-06-12,True,True,,0
43,,2016-06-13,True,True,,0
44,,2016-06-14,True,True,,0
45,,2016-06-15,True,True,,0
46,,2016-06-16,True,True,,0
47,,2016-06-17,False,False,,0
48,,2016-06-18,False,False,,1
49,,2016-06-19,True,True,,0
50,,2016-06-20,True,True,,0
51,,2016-06-21,True,True,,0
52,,2016-06-22,True,True,,0
53,,2016-06-23,True,True,,0
54,,2016-06-24,False,False,,0
55,,2016-06-25,False,False,,1
56,,2016-06-26,True,True,,0
57,,2016-06-27,True,True,,0
58,,2016-06-28,True,True,,0
59,,2016-06-29,False,True,,0
60,,2016-06-30,True,True,,0
0,,2016-05-01,False,True,,0
1,,2016-05-02,True,True,,0
2,,2016-05-03,True,True,,0
3,,2016-05-04,True,True,,0
4,,2016-05-05,True,True,,0
5,,2016-05-06,False,False,,0
6,,2016-05-07,False,False,,1
7,,2016-05-08,True,True,,0
8,,2016-05-09,True,True,,0
9,,2016-05-10,True,True,,0
10,,2016-05-11,True,True,,0
11,,2016-05-12,True,True,,0
12,,2016-05-13,False,False,,0
13,,2016-05-14,False,False,,1
14,,2016-05-15,True,True,,0
15,,2016-05-16,True,True,,0
16,,2016-05-17,True,True,,0
17,,2016-05-18,True,True,,0
18,,2016-05-19,True,True,,0
19,,2016-05-20,False,False,,0
20,,2016-05-21,False,False,,1
21,,2016-05-22,True,True,,0
22,,2016-05-23,True,True,,0
23,,2016-05-24,True,True,,0
24,,2016-05-25,True,True,,0
25,,2016-05-26,True,True,,0
26,,2016-05-27,False,False,,0
27,,2016-05-28,False,False,,1
28,,2016-05-29,True,True,,0
29,,2016-05-30,True,True,,0
30,,2016-05-31,True,True,,0
31,,2016-06-01,True,True,,0
32,,2016-06-02,True,True,,0
33,,2016-06-03,False,False,,0
34,,2016-06-04,False,False,,1
35,,2016-06-05,True,True,,0
36,,2016-06-06,True,True,,0
37,,2016-06-07,False,True,,0
38,,2016-06-08,True,True,,0
39,,2016-06-09,True,True,,0
40,,2016-06-10,False,False,,0
41,,2016-06-11,False,False,,1
42,,2016-06-12,True,True,,0
43,,2016-06-13,True,True,,0
44,,2016-06-14,True,True,,0
45,,2016-06-15,True,True,,0
46,,2016-06-16,False,True,,0
47,,2016-06-17,False,False,,1
48,,2016-06-18,False,False,,1
49,,2016-06-19,True,True,,0
50,,2016-06-20,True,True,,0
51,,2016-06-21,True,True,,0
52,,2016-06-22,True,True,,0
53,,2016-06-23,True,True,,0
54,,2016-06-24,False,False,,0
55,,2016-06-25,False,False,,1
56,,2016-06-26,False,True,,1
57,,2016-06-27,True,True,,0
58,,2016-06-28,True,True,,0
59,,2016-06-29,True,True,,0
60,,2016-06-30,True,True,,0
